#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Acidilobus saccharovorans	Archaea	Crenarchaeota	Thermoprotei	1.49645	1	-	-	1
Acidimicrobium ferrooxidans	Bacteria	Actinobacteria	Actinobacteria	2.15816	1	-	-	1
Acidiphilium	Bacteria	Proteobacteria	Alphaproteobacteria	4.18836	-	-	-	2
Acidiphilium angustum	Bacteria	Proteobacteria	Alphaproteobacteria	4.17541	-	-	-	1
Acidiphilium cryptum	Bacteria	Proteobacteria	Alphaproteobacteria	3.96308	1	-	8	1
Acidiphilium multivorum	Bacteria	Proteobacteria	Alphaproteobacteria	4.21474	1	-	8	1
Acidithiobacillus	Bacteria	Proteobacteria	Gammaproteobacteria	3.17493	-	-	-	1
Acidithiobacillus caldus	Bacteria	Proteobacteria	Gammaproteobacteria	3.2376	1	-	4	2
Acidithiobacillus ferrivorans	Bacteria	Proteobacteria	Gammaproteobacteria	3.20755	1	-	-	1
Acidithiobacillus ferrooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	2.9824	1	-	2	2
Acidithiobacillus thiooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	3.9379	-	-	-	3
Acidobacteria bacterium JGI 0001001-H03	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	0.789133	-	-	-	1
Acidobacteria bacterium KBS 146	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.00104	-	-	-	1
Acidobacteriaceae bacterium KBS 83	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.25081	-	-	-	1
Acidobacteriaceae bacterium KBS 89	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.00993	-	-	-	1
Acidobacteriaceae bacterium KBS 96	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.69216	-	-	-	1
Acidobacteriaceae bacterium TAA166	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.13693	-	-	-	1
Acidobacteriaceae bacterium URHE0068	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	6.67919	-	-	-	1
Acidobacterium	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	3.68652	-	-	-	1
Acidobacterium capsulatum	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	4.12736	1	-	-	1
Acidocella	Bacteria	Proteobacteria	Alphaproteobacteria	3.62486	-	-	-	1
Acidocella facilis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40393	-	-	-	1
Acidomonas methanolica	Bacteria	Proteobacteria	Alphaproteobacteria	3.69003	-	-	-	1
Acidothermus cellulolyticus	Bacteria	Actinobacteria	Actinobacteria	2.44354	1	-	-	1
Acidovorax	Bacteria	Proteobacteria	Betaproteobacteria	7.08623	1	-	2	7
Acidovorax avenae	Bacteria	Proteobacteria	Betaproteobacteria	5.52228	1	-	-	2
Acidovorax citrulli	Bacteria	Proteobacteria	Betaproteobacteria	5.35277	1	-	-	2
Acidovorax delafieldii	Bacteria	Proteobacteria	Betaproteobacteria	4.84209	-	-	-	1
Acidovorax ebreus	Bacteria	Proteobacteria	Betaproteobacteria	3.79657	1	-	-	1
Acidovorax oryzae	Bacteria	Proteobacteria	Betaproteobacteria	5.52678	-	-	-	1
Acidovorax radicis	Bacteria	Proteobacteria	Betaproteobacteria	5.53023	-	-	-	2
Aciduliprofundum	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.43709	1	-	-	1
Aciduliprofundum boonei	Archaea	Euryarchaeota	unclassified Euryarchaeota	2.98181	1	-	-	2
Acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria	4.90237	1	-	1	61
Acinetobacter bacteriophage AP22	Viruses	unclassified phages	unclassified	0.046387	1	-	-	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	6.04643	1	-	14	813
Acinetobacter baylyi	Bacteria	Proteobacteria	Gammaproteobacteria	3.7469	-	-	-	3
Acinetobacter beijerinckii	Bacteria	Proteobacteria	Gammaproteobacteria	3.56333	-	-	-	2
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	5.02653	-	-	1	3
Acinetobacter bohemicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.65769	-	-	-	1
Acinetobacter bouvetii	Bacteria	Proteobacteria	Gammaproteobacteria	3.38882	-	-	-	2
Acinetobacter brisouii	Bacteria	Proteobacteria	Gammaproteobacteria	3.14851	-	-	-	2
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	4.10541	1	-	2	11
Acinetobacter gerneri	Bacteria	Proteobacteria	Gammaproteobacteria	4.59517	-	-	-	2
Acinetobacter guillouiae	Bacteria	Proteobacteria	Gammaproteobacteria	4.90577	-	-	-	3
Acinetobacter gyllenbergii	Bacteria	Proteobacteria	Gammaproteobacteria	4.55135	-	-	-	3
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	3.7152	-	-	-	7
Acinetobacter indicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.21164	-	-	-	2
Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	3.69001	-	-	-	5
Acinetobacter junii	Bacteria	Proteobacteria	Gammaproteobacteria	3.78235	-	-	-	6
Acinetobacter lwoffii	Bacteria	Proteobacteria	Gammaproteobacteria	3.67768	1	-	3	9
Acinetobacter nectaris	Bacteria	Proteobacteria	Gammaproteobacteria	2.66894	-	-	-	1
Acinetobacter nosocomialis	Bacteria	Proteobacteria	Gammaproteobacteria	4.19141	-	-	2	8
Acinetobacter oleivorans	Bacteria	Proteobacteria	Gammaproteobacteria	4.15254	1	-	-	2
Acinetobacter parvus	Bacteria	Proteobacteria	Gammaproteobacteria	3.01896	-	-	-	3
Acinetobacter phage 133	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.159801	1	-	-	1
Acinetobacter phage AB3	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.031185	1	-	-	1
Acinetobacter phage AP205	Viruses	ssRNA viruses	Leviviridae	0.004268	1	-	-	1
Acinetobacter phage Abp1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042185	1	-	-	1
Acinetobacter phage Ac42	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.167716	1	-	-	1
Acinetobacter phage Acj61	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.164093	1	-	-	1
Acinetobacter phage Acj9	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.169947	1	-	-	1
Acinetobacter phage Bphi-B1251	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.045364	1	-	-	1
Acinetobacter phage IME_AB3	Viruses	dsDNA viruses, no RNA stage	unclassified	0.04305	1	-	-	1
Acinetobacter phage Petty	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.040739	1	-	-	1
Acinetobacter phage Presley	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.077792	1	-	-	1
Acinetobacter phage ZZ1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.166682	1	-	-	1
Acinetobacter pittii	Bacteria	Proteobacteria	Gammaproteobacteria	4.10382	-	-	1	9
Acinetobacter radioresistens	Bacteria	Proteobacteria	Gammaproteobacteria	3.36608	-	-	4	8
Acinetobacter rudis	Bacteria	Proteobacteria	Gammaproteobacteria	4.06669	-	-	-	1
Acinetobacter schindleri	Bacteria	Proteobacteria	Gammaproteobacteria	3.4149	-	-	-	3
Acinetobacter soli	Bacteria	Proteobacteria	Gammaproteobacteria	3.49815	-	-	-	3
Acinetobacter tandoii	Bacteria	Proteobacteria	Gammaproteobacteria	4.07892	-	-	-	2
Acinetobacter tjernbergiae	Bacteria	Proteobacteria	Gammaproteobacteria	3.69238	-	-	-	2
Acinetobacter towneri	Bacteria	Proteobacteria	Gammaproteobacteria	2.95235	-	-	-	2
Acinetobacter ursingii	Bacteria	Proteobacteria	Gammaproteobacteria	3.82548	-	-	-	4
Acinetobacter venetianus	Bacteria	Proteobacteria	Gammaproteobacteria	3.54451	1	-	2	3
Aconitum latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008657	1	-	-	1
Acromyrmex echinatior	Eukaryota	Animals	Insects	295.945	-	-	-	1
Acropora digitifera	Eukaryota	Animals	Other Animals	364.965	-	1	-	1
Actibacterium	Bacteria	Proteobacteria	Alphaproteobacteria	3.17638	-	-	-	1
Actibacterium mucosum	Bacteria	Proteobacteria	Alphaproteobacteria	3.71534	-	-	-	1
Actinidia chinensis	Eukaryota	Plants	Land Plants	604.217	-	-	-	1
Actinidia virus B	Viruses	ssRNA viruses	Betaflexiviridae	0.007488	1	-	-	1
Actinoalloteichus cyanogriseus	Bacteria	Actinobacteria	Actinobacteria	6.3196	-	-	-	3
Actinoalloteichus spitiensis	Bacteria	Actinobacteria	Actinobacteria	5.70653	-	-	-	1
Actinobacillus capsulatus	Bacteria	Proteobacteria	Gammaproteobacteria	2.62114	-	-	-	1
Actinobacillus minor	Bacteria	Proteobacteria	Gammaproteobacteria	2.42526	-	-	-	2
Actinobacillus pleuropneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	2.3755	1	-	10	16
Actinobacillus succinogenes	Bacteria	Proteobacteria	Gammaproteobacteria	2.31966	1	-	-	1
Actinobacillus suis	Bacteria	Proteobacteria	Gammaproteobacteria	2.48494	1	-	-	1
Actinobacillus ureae	Bacteria	Proteobacteria	Gammaproteobacteria	2.35447	-	-	-	1
Actinobaculum	Bacteria	Actinobacteria	Actinobacteria	2.36601	-	-	-	1
Actinobaculum massiliense	Bacteria	Actinobacteria	Actinobacteria	2.03202	-	-	-	1
Actinobaculum schaalii	Bacteria	Actinobacteria	Actinobacteria	2.15931	1	-	-	3
Actinobaculum urinale	Bacteria	Actinobacteria	Actinobacteria	1.92034	-	-	-	1
Actinocatenispora sera	Bacteria	Actinobacteria	Actinobacteria	6.94724	-	-	-	1
Actinokineospora	Bacteria	Actinobacteria	Actinobacteria	7.52948	-	-	-	1
Actinokineospora enzanensis	Bacteria	Actinobacteria	Actinobacteria	8.11986	-	-	-	1
Actinokineospora inagensis	Bacteria	Actinobacteria	Actinobacteria	7.27876	-	-	-	1
Actinomadura atramentaria	Bacteria	Actinobacteria	Actinobacteria	6.71058	-	-	-	1
Actinomadura flavalba	Bacteria	Actinobacteria	Actinobacteria	6.16778	-	-	-	1
Actinomadura madurae	Bacteria	Actinobacteria	Actinobacteria	10.3089	-	-	-	2
Actinomadura oligospora	Bacteria	Actinobacteria	Actinobacteria	9.35366	-	-	-	1
Actinomadura rifamycini	Bacteria	Actinobacteria	Actinobacteria	8.38543	-	-	-	1
Actinomyces	Bacteria	Actinobacteria	Actinobacteria	3.45937	-	-	-	16
Actinomyces cardiffensis	Bacteria	Actinobacteria	Actinobacteria	2.21485	-	-	-	1
Actinomyces coleocanis	Bacteria	Actinobacteria	Actinobacteria	1.72384	-	-	-	1
Actinomyces dentalis	Bacteria	Actinobacteria	Actinobacteria	3.53139	-	-	-	1
Actinomyces europaeus	Bacteria	Actinobacteria	Actinobacteria	1.90671	-	-	-	1
Actinomyces georgiae	Bacteria	Actinobacteria	Actinobacteria	2.49802	-	-	-	2
Actinomyces gerencseriae	Bacteria	Actinobacteria	Actinobacteria	3.42002	-	-	-	1
Actinomyces graevenitzii	Bacteria	Actinobacteria	Actinobacteria	2.20573	-	-	-	2
Actinomyces israelii	Bacteria	Actinobacteria	Actinobacteria	4.02577	-	-	-	1
Actinomyces johnsonii	Bacteria	Actinobacteria	Actinobacteria	3.38792	-	-	-	2
Actinomyces massiliensis	Bacteria	Actinobacteria	Actinobacteria	3.41644	-	-	-	2
Actinomyces naeslundii	Bacteria	Actinobacteria	Actinobacteria	3.11434	-	-	-	1
Actinomyces neuii	Bacteria	Actinobacteria	Actinobacteria	2.27029	-	-	-	2
Actinomyces odontolyticus	Bacteria	Actinobacteria	Actinobacteria	2.432	-	-	-	2
Actinomyces oris	Bacteria	Actinobacteria	Actinobacteria	2.87243	-	-	-	1
Actinomyces phage Av-1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.017171	1	-	-	1
Actinomyces slackii	Bacteria	Actinobacteria	Actinobacteria	3.17109	-	-	-	1
Actinomyces suimastitidis	Bacteria	Actinobacteria	Actinobacteria	2.29413	-	-	-	1
Actinomyces timonensis	Bacteria	Actinobacteria	Actinobacteria	2.93294	-	-	-	1
Actinomyces turicensis	Bacteria	Actinobacteria	Actinobacteria	1.96775	-	-	-	1
Actinomyces urogenitalis	Bacteria	Actinobacteria	Actinobacteria	2.70281	-	-	-	2
Actinomyces vaccimaxillae	Bacteria	Actinobacteria	Actinobacteria	2.33843	-	-	-	1
Actinomyces viscosus	Bacteria	Actinobacteria	Actinobacteria	3.1345	-	-	-	1
Actinomycetospora chiangmaiensis	Bacteria	Actinobacteria	Actinobacteria	5.86108	-	-	-	1
Actinoplanes	Bacteria	Actinobacteria	Actinobacteria	9.23985	1	-	-	2
Actinoplanes friuliensis	Bacteria	Actinobacteria	Actinobacteria	9.37607	1	-	-	1
Actinoplanes globisporus	Bacteria	Actinobacteria	Actinobacteria	10.9885	-	-	-	1
Actinoplanes liguriensis	Bacteria	Actinobacteria	Actinobacteria	12.4463	-	-	-	1
Actinoplanes missouriensis	Bacteria	Actinobacteria	Actinobacteria	8.77347	1	-	-	1
Actinoplanes phage phiAsp2	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.058638	1	-	-	1
Actinoplanes subtropicus	Bacteria	Actinobacteria	Actinobacteria	11.2573	-	-	-	1
Actinopolymorpha alba	Bacteria	Actinobacteria	Actinobacteria	7.98371	-	-	-	1
Actinopolyspora halophila	Bacteria	Actinobacteria	Actinobacteria	5.35329	-	-	-	1
Actinopolyspora iraqiensis	Bacteria	Actinobacteria	Actinobacteria	3.89597	-	-	-	1
Actinopolyspora mortivallis	Bacteria	Actinobacteria	Actinobacteria	4.23335	-	-	-	1
Actinospica acidiphila	Bacteria	Actinobacteria	Actinobacteria	7.30927	-	-	-	1
Actinospica robiniae	Bacteria	Actinobacteria	Actinobacteria	9.91889	-	-	-	1
Actinosynnema mirum	Bacteria	Actinobacteria	Actinobacteria	8.24814	1	-	-	1
Actinosynnema pretiosum	Bacteria	Actinobacteria	Actinobacteria	7.96532	-	-	-	1
Actinotalea ferrariae	Bacteria	Actinobacteria	Actinobacteria	3.98708	-	-	-	1
Acute bee paralysis virus	Viruses	ssRNA viruses	Dicistroviridae	0.009491	1	-	-	1
Acyrthosiphon pisum	Eukaryota	Animals	Insects	541.692	-	1	-	1
Acyrthosiphon pisum virus	Viruses	ssRNA viruses	unclassified	0.010035	1	-	-	1
Adeno-associated virus - 1	Viruses	ssDNA viruses	Parvoviridae	0.004718	1	-	-	1
Adeno-associated virus - 2	Viruses	ssDNA viruses	Parvoviridae	0.004679	1	-	-	1
Adeno-associated virus - 3	Viruses	ssDNA viruses	Parvoviridae	0.004726	1	-	-	1
Adeno-associated virus - 4	Viruses	ssDNA viruses	Parvoviridae	0.004767	1	-	-	1
Adeno-associated virus - 5	Viruses	ssDNA viruses	Parvoviridae	0.004642	1	-	-	1
Adeno-associated virus - 7	Viruses	ssDNA viruses	Parvoviridae	0.004721	1	-	-	1
Adeno-associated virus - 8	Viruses	ssDNA viruses	Parvoviridae	0.004393	1	-	-	1
Adenoviridae	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	3.20464	91	-	-	1
Adhaeribacter aquaticus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.16809	-	-	-	1
Adineta vaga	Eukaryota	Animals	Other Animals	217.934	-	-	-	1
Adlercreutzia equolifaciens	Bacteria	Actinobacteria	Actinobacteria	2.86253	1	-	-	1
Adoxophyes honmai entomopoxvirus 'L'	Viruses	dsDNA viruses, no RNA stage	Poxviridae	0.22875	1	-	-	1
Adoxophyes honmai nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.11322	1	-	-	1
Adoxophyes orana granulovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.099657	1	-	-	1
Adoxophyes orana nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.111724	1	-	-	1
Adult diarrheal rotavirus strain J19	Viruses	dsRNA viruses	Reoviridae	0.017961	11	-	-	1
Advenella kashmirensis	Bacteria	Proteobacteria	Betaproteobacteria	4.84603	1	-	1	2
Advenella mimigardefordensis	Bacteria	Proteobacteria	Betaproteobacteria	4.76413	1	-	1	1
Aedes aegypti	Eukaryota	Animals	Insects	1376.42	-	1	-	1
Aedes aegypti densovirus	Viruses	ssDNA viruses	Parvoviridae	0.003776	1	-	-	1
Aedes albopictus densovirus	Viruses	ssDNA viruses	Parvoviridae	0.004176	1	-	-	1
Aedes flavivirus	Viruses	ssRNA viruses	Flaviviridae	0.011064	1	-	-	1
Aedes pseudoscutellaris reovirus	Viruses	dsRNA viruses	Reoviridae	0.023147	9	-	-	1
Aegilops tauschii	Eukaryota	Plants	Land Plants	3313.65	-	1	-	1
Aequorivita capsosiphonis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.0429	-	-	-	1
Aequorivita sublithincola	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.52067	1	-	-	1
Aerococcus urinae	Bacteria	Firmicutes	Bacilli	2.08097	1	-	-	1
Aerococcus urinaeequi	Bacteria	Firmicutes	Bacilli	1.99213	-	-	-	1
Aerococcus viridans	Bacteria	Firmicutes	Bacilli	2.00585	-	-	-	2
Aeromicrobium marinum	Bacteria	Actinobacteria	Actinobacteria	3.07984	1	-	-	1
Aeromicrobium massiliense	Bacteria	Actinobacteria	Actinobacteria	6.75926	-	-	-	2
Aeromonas	Bacteria	Proteobacteria	Gammaproteobacteria	4.84175	-	-	-	2
Aeromonas caviae	Bacteria	Proteobacteria	Gammaproteobacteria	4.84757	-	-	1	2
Aeromonas dhakensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.87787	-	-	1	2
Aeromonas diversa	Bacteria	Proteobacteria	Gammaproteobacteria	4.02642	-	-	-	1
Aeromonas enteropelogenes	Bacteria	Proteobacteria	Gammaproteobacteria	4.05408	-	-	-	1
Aeromonas hydrophila	Bacteria	Proteobacteria	Gammaproteobacteria	5.11106	1	-	9	22
Aeromonas jandaei	Bacteria	Proteobacteria	Gammaproteobacteria	4.47809	-	-	-	1
Aeromonas media	Bacteria	Proteobacteria	Gammaproteobacteria	4.78843	1	-	1	2
Aeromonas molluscorum	Bacteria	Proteobacteria	Gammaproteobacteria	4.23617	-	-	-	1
Aeromonas phage 25	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.161475	1	-	-	1
Aeromonas phage 31	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.172963	1	-	-	1
Aeromonas phage 44RR2.8t	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.173591	1	-	-	1
Aeromonas phage 65	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.235229	1	-	-	1
Aeromonas phage Aeh1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.233234	1	-	-	1
Aeromonas phage Aes012	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.161978	1	-	-	1
Aeromonas phage Aes508	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.160646	1	-	-	1
Aeromonas phage CC2	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.231743	1	-	-	1
Aeromonas phage PX29	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.222006	1	-	-	1
Aeromonas phage pIS4-A	Viruses	dsDNA viruses, no RNA stage	unclassified	0.047624	1	-	-	1
Aeromonas phage phiAS4	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.163875	1	-	-	1
Aeromonas phage phiAS5	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.225268	1	-	-	1
Aeromonas phage phiAS7	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041572	1	-	-	1
Aeromonas phage phiO18P	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.033985	1	-	-	1
Aeromonas phage vB_AsaM-56	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.043551	1	-	-	1
Aeromonas salmonicida	Bacteria	Proteobacteria	Gammaproteobacteria	5.04054	1	-	6	5
Aeromonas taiwanensis	Bacteria	Proteobacteria	Gammaproteobacteria	4.23059	-	-	-	1
Aeromonas veronii	Bacteria	Proteobacteria	Gammaproteobacteria	4.68496	1	-	-	7
Aeropyrum camini	Archaea	Crenarchaeota	Thermoprotei	1.59599	1	-	-	1
Aeropyrum pernix	Archaea	Crenarchaeota	Thermoprotei	1.6697	1	-	-	1
Aestuariibacter salexigens	Bacteria	Proteobacteria	Gammaproteobacteria	3.78384	-	-	-	1
Aestuariimicrobium kwangyangense	Bacteria	Actinobacteria	Actinobacteria	2.99015	-	-	-	1
Aethionema arabicum	Eukaryota	Plants	Land Plants	192.488	-	-	-	1
Afifella pfennigii	Bacteria	Proteobacteria	Alphaproteobacteria	3.87259	-	-	-	1
Afipia	Bacteria	Proteobacteria	Alphaproteobacteria	5.13331	-	-	-	11
Afipia birgiae	Bacteria	Proteobacteria	Alphaproteobacteria	5.33415	-	-	-	1
